Location,Black population,Fraction of population that is Black,Latino population,Fraction of population that is Latino,Asian population,Fraction of population that is Asian,White population,Fraction of population that is White,Other population,Fraction of population that is Other,Avg number of vehicles,White collar population,White collar fraction
94501,4565.0000,0.0692,7668.0000,0.1162,21952.0000,0.3328,31089.0000,0.4713,2212.0000,0.0335,0.8,"24,411",0.7058
94502,403.0000,0.0277,1009.0000,0.0693,7071.0000,0.4858,5755.0000,0.3954,183.0000,0.0126,0.8,"6,221",0.8041
94536,2615.0000,0.0346,13198.0000,0.1747,36605.0000,0.4846,24247.0000,0.3210,5876.0000,0.0778,1.1,"28,547",0.7426
94538,2422.0000,0.0357,13773.0000,0.2030,35368.0000,0.5214,18733.0000,0.2761,6379.0000,0.0940,1.1,"25,331",0.7156
94539,445.0000,0.0081,2005.0000,0.0363,43096.0000,0.7806,9180.0000,0.1663,512.0000,0.0093,1.3,"24,424",0.8799
94541,8993.0000,0.1314,31990.0000,0.4674,12571.0000,0.1837,24299.0000,0.3550,15764.0000,0.2303,1.3,"17,719",0.5213
94542,1924.0000,0.1317,3110.0000,0.2128,4248.0000,0.2907,5451.0000,0.3730,1503.0000,0.1029,1.3,"5,903",0.7588
94544,8015.0000,0.0984,38853.0000,0.4772,19428.0000,0.2386,23667.0000,0.2907,21186.0000,0.2602,1.3,"18,547",0.4711
94545,2736.0000,0.0842,10290.0000,0.3168,13101.0000,0.4033,8335.0000,0.2566,4709.0000,0.1450,1.4,"8,942",0.5641
94546,3315.0000,0.0726,9426.0000,0.2063,10726.0000,0.2348,24250.0000,0.5308,3345.0000,0.0732,1.4,"16,421",0.6880
94550,1079.0000,0.0204,10131.0000,0.1916,5514.0000,0.1043,39455.0000,0.7464,3381.0000,0.0640,1.4,"20,242",0.7204
94551,1000.0000,0.0235,11666.0000,0.2740,6291.0000,0.1478,26522.0000,0.6230,5729.0000,0.1346,1.5,"16,257",0.6819
94552,706.0000,0.0419,1596.0000,0.0948,7729.0000,0.4590,6950.0000,0.4127,288.0000,0.0171,1.6,"6,720",0.7757
94555,1098.0000,0.0286,3240.0000,0.0844,27613.0000,0.7197,5980.0000,0.1559,1269.0000,0.0331,1.6,"14,825",0.7850
94560,1959.0000,0.0400,17648.0000,0.3606,17791.0000,0.3636,15912.0000,0.3252,9374.0000,0.1916,1.6,"14,698",0.6057
94566,702.0000,0.0147,5403.0000,0.1128,13454.0000,0.2808,29375.0000,0.6131,1662.0000,0.0347,1.6,"20,391",0.8158
94568,4870.0000,0.0780,8371.0000,0.1341,23922.0000,0.3832,25484.0000,0.4082,2911.0000,0.0466,1.6,"25,344",0.8230
94577,6474.0000,0.1285,15499.0000,0.3076,15332.0000,0.3042,16929.0000,0.3359,8023.0000,0.1592,1.7,"15,170",0.6059
94578,7485.0000,0.1779,15319.0000,0.3642,10843.0000,0.2578,12364.0000,0.2939,8521.0000,0.2026,1.7,"10,922",0.5395
94579,1480.0000,0.0669,4546.0000,0.2055,11247.0000,0.5083,6029.0000,0.2725,2042.0000,0.0923,1.7,"6,006",0.5510
94580,2116.0000,0.0709,11425.0000,0.3826,8914.0000,0.2985,11027.0000,0.3693,5460.0000,0.1829,1.8,"8,747",0.5908
94586,4.0000,0.0041,68.0000,0.0700,135.0000,0.1389,714.0000,0.7346,15.0000,0.0154,1.8,414,0.8313
94587,3986.0000,0.0512,15874.0000,0.2039,44982.0000,0.5778,15448.0000,0.1984,6932.0000,0.0890,1.8,"24,071",0.6334
94588,647.0000,0.0182,3555.0000,0.0999,14240.0000,0.4002,17739.0000,0.4986,708.0000,0.0199,1.8,"15,612",0.8410
94601,7614.0000,0.1412,28399.0000,0.5265,11502.0000,0.2133,14240.0000,0.2640,16373.0000,0.3036,1.9,"9,956",0.4054
94602,4384.0000,0.1434,4448.0000,0.1455,7698.0000,0.2518,13979.0000,0.4573,1951.0000,0.0638,1.9,"10,638",0.6843
94603,9256.0000,0.2762,19979.0000,0.5961,2338.0000,0.0698,7870.0000,0.2348,11651.0000,0.3476,1.9,"5,952",0.3999
