"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Value","Indicator Value Units","Lower Confidence Interval","Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Value","Breakout Value Units","Breakout Lower Confidence Interval","Breakout Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,46554,dollars,45053,48055,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,45122,dollars,43515,46729,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,43097,dollars,41581,44613,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,41592,dollars,39575,43609,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,39347,dollars,37819,40875,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,38185,dollars,36629,39741,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,38066,dollars,36651,39481,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94501,37018,dollars,35689,38347,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,58560,dollars,54113,63007,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,56505,dollars,51187,61823,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,56706,dollars,50922,62490,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,58635,dollars,52590,64680,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,56483,dollars,51420,61546,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,56096,dollars,50870,61322,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,53952,dollars,49633,58271,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94502,48959,dollars,45967,51951,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,46643,dollars,45148,48138,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,44667,dollars,43064,46270,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,41515,dollars,40021,43009,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,39137,dollars,37947,40327,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,38245,dollars,36918,39572,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,37039,dollars,35285,38793,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,35960,dollars,34591,37329,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94536,36677,dollars,35346,38008,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,41897,dollars,40565,43229,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,39321,dollars,38249,40393,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,37068,dollars,35637,38499,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,35073,dollars,33823,36323,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,34247,dollars,33055,35439,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,34237,dollars,32952,35522,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,32150,dollars,30873,33427,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94538,31661,dollars,30288,33034,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,61948,dollars,60090,63806,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,59591,dollars,57821,61361,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,55160,dollars,53530,56790,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,52694,dollars,51135,54253,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,51557,dollars,50150,52964,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,50701,dollars,48945,52457,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,49190,dollars,47473,50907,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94539,49378,dollars,47463,51293,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,31260,dollars,30230,32290,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,28610,dollars,27531,29689,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,27066,dollars,25939,28193,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,25830,dollars,24880,26780,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,24593,dollars,23520,25666,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,24755,dollars,23784,25726,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,24346,dollars,23474,25218,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94541,24689,dollars,23732,25646,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,42189,dollars,38906,45472,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,41793,dollars,38033,45553,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,41176,dollars,37779,44573,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,39287,dollars,36814,41760,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,37991,dollars,34848,41134,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,39329,dollars,36460,42198,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,38923,dollars,35359,42487,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94542,38279,dollars,35375,41183,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,28569,dollars,27715,29423,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,26295,dollars,25568,27022,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,24166,dollars,23392,24940,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,23223,dollars,22472,23974,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,22943,dollars,22239,23647,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,22479,dollars,21861,23097,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,22496,dollars,21719,23273,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94544,22393,dollars,21595,23191,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,31905,dollars,29383,34427,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,30510,dollars,28265,32755,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,30308,dollars,28069,32547,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,28148,dollars,26833,29463,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,28150,dollars,26621,29679,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,27979,dollars,26544,29414,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,27930,dollars,26560,29300,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94545,26631,dollars,25441,27821,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,42245,dollars,40501,43989,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,39953,dollars,38215,41691,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,37457,dollars,36092,38822,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,36228,dollars,34687,37769,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,35537,dollars,34161,36913,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,35705,dollars,34378,37032,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,35799,dollars,34199,37399,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94546,35694,dollars,34105,37283,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,55188,dollars,53111,57265,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,51770,dollars,49564,53976,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,48840,dollars,47154,50526,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,47171,dollars,45625,48717,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,46145,dollars,44051,48239,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,46154,dollars,44177,48131,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,45736,dollars,44025,47447,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94550,44879,dollars,43069,46689,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,46851,dollars,44967,48735,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,45709,dollars,43692,47726,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,42520,dollars,40285,44755,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,40620,dollars,38626,42614,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,40775,dollars,38924,42626,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,39465,dollars,37443,41487,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,39235,dollars,37335,41135,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94551,39062,dollars,37215,40909,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,66913,dollars,61760,72066,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,60316,dollars,55336,65296,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,55170,dollars,51457,58883,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,55487,dollars,50860,60114,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,55669,dollars,51214,60124,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,52462,dollars,48561,56363,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,52389,dollars,49124,55654,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94552,51571,dollars,48222,54920,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,51491,dollars,49032,53950,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,47817,dollars,45448,50186,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,44812,dollars,42807,46817,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,42757,dollars,40751,44763,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,42171,dollars,40140,44202,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,41533,dollars,39402,43664,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94555,40279,dollars,38392,42166,No,2008-2012,"American Community Survey",,,,,,,,,,
